report_id,company_name,industry,sub_industry,scope_key,total_pages,method,ablation,total_process_runtime_seconds,total_tokens,model,api_cost_aud_est
1d223dc1-ae3e-4c78-83e0-0a1329e528e0,bmw esg 2024,Transportation,Automobiles,Automobiles,19,M1,A0,164.8940677719993,46794,gpt-5.2-2025-12-11,0.46793999999999997
1d223dc1-ae3e-4c78-83e0-0a1329e528e0,20260331_062235_1d223dc1-ae3e-4c78-83e0-0a1329e528e0,Transportation,Automobiles,Automobiles,19,M0,,150.5065000880004,194404,gpt-5.2-2025-12-11,1.94404
897a33de-edbe-45aa-a425-31297df747c4,QAN_2024_Sustainability_Report,Transportation,Airlines,Airlines,92,M1,A0,1198.502064563998,60325,gpt-5.2-2025-12-11,0.6032500000000001
897a33de-edbe-45aa-a425-31297df747c4,20260331_064225_897a33de-edbe-45aa-a425-31297df747c4,Transportation,Airlines,Airlines,92,M0,,237.9769406259984,1261161,gpt-5.2-2025-12-11,12.61161
307280f5-f615-4b1a-ae47-c0f04eb55bf6,maersk-sustainability-report-2023,Transportation,Marine Transportation,Marine Transportation,65,M1,A0,1539.3292417479988,231467,gpt-5.2-2025-12-11,2.31467
307280f5-f615-4b1a-ae47-c0f04eb55bf6,20260331_074332_307280f5-f615-4b1a-ae47-c0f04eb55bf6,Transportation,Marine Transportation,Marine Transportation,65,M0,,358.510213937001,2951076,gpt-5.2-2025-12-11,29.51076
848186d8-7a5e-42ce-b587-698c5e71533f,Apple_Environmental_Progress_Report_2025,Technology & Communications,Hardware,Hardware,126,M1,A0,215.92928536600084,35138,gpt-5.2-2025-12-11,0.35137999999999997
848186d8-7a5e-42ce-b587-698c5e71533f,20260331_092721_848186d8-7a5e-42ce-b587-698c5e71533f,Technology & Communications,Hardware,Hardware,126,M0,,160.00775107200025,994944,gpt-5.2-2025-12-11,9.94944
f25a601b-2967-4668-8345-15d9e7555cab,2025-Microsoft-Environmental-Sustainability-Report-PDF,Technology & Communications,Software & IT Services,Software & IT Services,90,M1,A0,310.15502251600265,94895,gpt-5.2-2025-12-11,0.94895
f25a601b-2967-4668-8345-15d9e7555cab,20260331_101832_f25a601b-2967-4668-8345-15d9e7555cab,Technology & Communications,Software & IT Services,Software & IT Services,90,M0,,340.995419840001,1839292,gpt-5.2-2025-12-11,18.39292
