model_family,Acc_disclosure_status,Acc_value,Acc_page,avg_total_tokens,median_total_tokens,total_tokens_sum,n_runs
claude,0.9109,0.9352,0.8947,103074.68,94286.0,4844510,47
gpt,0.9074,0.9338,0.8853,95736.87,89362.0,2967843,31
