model_family,Acc_disclosure_status,Acc_value,Acc_page,avg_total_tokens,median_total_tokens,total_tokens_sum,n_runs
claude,0.9109,0.9352,0.8947,103074.68,94286.0,4844510,47
gpt,0.8888,0.9289,0.8535,320495.88,89379.0,56086779,175
