report_id,M0_total_seconds,M1_total_seconds,saving_rate_pct
33c8ed39-f506-4444-aff7-6b1f78c0f5cf,476.12391567098894,226.4289059290004,52.443282415272066
08b5581b-befd-4bfd-b226-b24c23a7081e,309.3196950430065,149.89157346799936,51.54153587046597
897a33de-edbe-45aa-a425-31297df747c4,237.08605408199583,127.62964393399852,46.16737604909565
fbef90a1-0131-4707-a4cd-39be8c15b96c,355.96337985399805,196.68734806200155,44.745061095139945
01973963-c558-4fee-8571-257caa21c8b1,359.88884708999467,198.93750987299995,44.72251321996284
0b36f1a6-d283-4aad-bc37-807347214057,220.83769436399962,125.10780512800011,43.34852775550674
1164cec7-2dcd-4a89-b630-14245bcd9e62,167.4673393719968,96.76643493299957,42.217727172430095
848186d8-7a5e-42ce-b587-698c5e71533f,159.32023498099807,93.01707951100161,41.61628024080202
106c05b9-8088-4a05-b281-694c146c91d0,905.6942601400096,531.4654282129995,41.31955433494287
09e9db8c-998b-46b0-b786-4b61f157e65d,228.34991369000272,135.95324591700046,40.462755724285365
093f2d23-5f2f-47b9-9ea3-ff36920ac675,232.35955715004093,138.4873545819995,40.399544447154184
33a8702e-b1ec-44c7-9049-dbb1cef33eef,234.66310567899927,147.32038307099901,37.22047501045105
307280f5-f615-4b1a-ae47-c0f04eb55bf6,357.18693290800184,235.55475237000246,34.052808020647085
0f329818-5c69-4f81-9dc2-a31415212f86,274.05050596999536,182.80475277599908,33.29523252330225
a92a8494-9b24-4a8d-b43a-7f484319937b,438.5899745449897,294.9919073550045,32.74084578402856
ea2ee64e-de07-42e1-86ed-196596d84555,365.7124804400264,246.0626272780064,32.71691822440867
2be9d6e7-65c4-4bf0-a930-9dabb1957ba0,231.1394273460064,160.1592885220016,30.708797559557166
3498d583-cb5c-408b-9f1a-edd4cc5fc285,233.33001960000547,163.38799163100157,29.97558054848861
f25a601b-2967-4668-8345-15d9e7555cab,339.50655284000095,239.783348758001,29.372983598639536
b5ea1eac-abad-4813-b4d6-7819c41f3e99,135.85907240799497,98.5831735799984,27.437180430655566
11fc0e9f-9146-44fc-bb91-f41402325ee0,266.0061061559936,194.86545191799996,26.7439929353632
be1ce70f-1190-4da6-9d5d-a3723294a01a,286.7480394639997,211.4224587099925,26.268908723773187
d0546854-e331-4ec6-b1db-ade1e55f106d,353.10687475299346,269.0151726890181,23.8148017148631
f23f7eb1-1f50-4558-b917-a2eed5198550,661.1844000059973,522.3553131079952,20.99703001110474
db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,131.10286288999987,111.38485930699972,15.040101450373577
abfbf9ad-f8c0-4ea1-9cab-3ba8c10691ad,125.05348603201128,108.55241603899776,13.195209919049805
85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,131.92216353700132,125.44211796800118,4.912021903872602
67c29e71-5024-4a1c-9452-d44fba2f6ce0,200.05475727900375,197.04931966900403,1.5023074936469634
0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,137.09441948399967,135.23136352199708,1.358958277816719
1d223dc1-ae3e-4c78-83e0-0a1329e528e0,149.60402996599805,170.06546188700304,-13.677059318292063
